,RunId,iteration,Step,width,height,initial_population,initial_population_bt,vento,Lagarta Saudavel,Lagarta Infectada,Bacteria
288,288,9,30,50,50,100,150,0,2,0,0
289,289,9,30,50,50,100,150,1,1,0,0
290,290,9,30,50,50,100,150,2,2,0,0
291,291,9,30,50,50,100,150,3,0,0,0
292,292,9,30,50,50,100,150,4,0,0,0
293,293,9,30,50,50,100,150,5,0,0,0
294,294,9,30,50,50,100,200,0,0,0,0
295,295,9,30,50,50,100,200,1,1,0,0
296,296,9,30,50,50,100,200,2,0,0,0
297,297,9,30,50,50,100,200,3,0,0,0
298,298,9,30,50,50,100,200,4,0,0,0
299,299,9,30,50,50,100,200,5,0,0,0
300,300,10,30,50,50,100,0,0,100,0,0
301,301,10,30,50,50,100,0,1,100,0,0
302,302,10,30,50,50,100,0,2,100,0,0
303,303,10,30,50,50,100,0,3,100,0,0
304,304,10,30,50,50,100,0,4,100,0,0
305,305,10,30,50,50,100,0,5,100,0,0
306,306,10,30,50,50,100,50,0,4,0,0
307,307,10,30,50,50,100,50,1,0,0,0
308,308,10,30,50,50,100,50,2,0,0,0
309,309,10,30,50,50,100,50,3,0,0,0
310,310,10,30,50,50,100,50,4,4,0,0
311,311,10,30,50,50,100,50,5,0,0,0
312,312,10,30,50,50,100,100,0,1,0,0
313,313,10,30,50,50,100,100,1,0,0,0
314,314,10,30,50,50,100,100,2,0,0,0
315,315,10,30,50,50,100,100,3,0,0,0
316,316,10,30,50,50,100,100,4,0,0,0
317,317,10,30,50,50,100,100,5,0,0,0
318,318,10,30,50,50,100,150,0,0,0,0
319,319,10,30,50,50,100,150,1,0,0,0
320,320,10,30,50,50,100,150,2,0,0,0
321,321,10,30,50,50,100,150,3,0,0,0
322,322,10,30,50,50,100,150,4,1,0,0
323,323,10,30,50,50,100,150,5,1,0,0
324,324,10,30,50,50,100,200,0,0,0,0
325,325,10,30,50,50,100,200,1,0,0,0
326,326,10,30,50,50,100,200,2,0,0,0
327,327,10,30,50,50,100,200,3,2,0,0
328,328,10,30,50,50,100,200,4,0,0,0
329,329,10,30,50,50,100,200,5,0,0,0
330,330,11,30,50,50,100,0,0,100,0,0
331,331,11,30,50,50,100,0,1,100,0,0
332,332,11,30,50,50,100,0,2,100,0,0
333,333,11,30,50,50,100,0,3,100,0,0
334,334,11,30,50,50,100,0,4,100,0,0
335,335,11,30,50,50,100,0,5,100,0,0
336,336,11,30,50,50,100,50,0,0,0,0
337,337,11,30,50,50,100,50,1,0,0,0
338,338,11,30,50,50,100,50,2,0,0,0
339,339,11,30,50,50,100,50,3,5,0,0
340,340,11,30,50,50,100,50,4,1,0,0
341,341,11,30,50,50,100,50,5,0,0,0
342,342,11,30,50,50,100,100,0,0,0,0
343,343,11,30,50,50,100,100,1,0,0,0
344,344,11,30,50,50,100,100,2,1,0,0
345,345,11,30,50,50,100,100,3,0,0,0
346,346,11,30,50,50,100,100,4,0,0,0
347,347,11,30,50,50,100,100,5,0,0,0
348,348,11,30,50,50,100,150,0,0,0,0
349,349,11,30,50,50,100,150,1,0,0,0
350,350,11,30,50,50,100,150,2,1,0,0
351,351,11,30,50,50,100,150,3,0,0,0
352,352,11,30,50,50,100,150,4,0,0,0
353,353,11,30,50,50,100,150,5,0,0,0
354,354,11,30,50,50,100,200,0,0,0,0
355,355,11,30,50,50,100,200,1,0,0,0
356,356,11,30,50,50,100,200,2,0,0,0
357,357,11,30,50,50,100,200,3,0,0,0
358,358,11,30,50,50,100,200,4,0,0,0
359,359,11,30,50,50,100,200,5,0,0,0
360,360,12,30,50,50,100,0,0,100,0,0
361,361,12,30,50,50,100,0,1,100,0,0
362,362,12,30,50,50,100,0,2,100,0,0
363,363,12,30,50,50,100,0,3,100,0,0
364,364,12,30,50,50,100,0,4,100,0,0
365,365,12,30,50,50,100,0,5,100,0,0
366,366,12,30,50,50,100,50,0,1,0,0
367,367,12,30,50,50,100,50,1,0,0,0
368,368,12,30,50,50,100,50,2,0,0,4
369,369,12,30,50,50,100,50,3,0,0,0
370,370,12,30,50,50,100,50,4,0,0,0
371,371,12,30,50,50,100,50,5,0,0,0
372,372,12,30,50,50,100,100,0,0,0,0
373,373,12,30,50,50,100,100,1,0,0,0
374,374,12,30,50,50,100,100,2,0,0,0
375,375,12,30,50,50,100,100,3,1,0,0
376,376,12,30,50,50,100,100,4,0,0,0
377,377,12,30,50,50,100,100,5,0,0,0
378,378,12,30,50,50,100,150,0,0,0,0
379,379,12,30,50,50,100,150,1,0,0,0
380,380,12,30,50,50,100,150,2,0,0,0
381,381,12,30,50,50,100,150,3,0,0,0
382,382,12,30,50,50,100,150,4,0,0,0
383,383,12,30,50,50,100,150,5,1,0,0
384,384,12,30,50,50,100,200,0,0,0,0
385,385,12,30,50,50,100,200,1,0,0,0
386,386,12,30,50,50,100,200,2,0,0,0
387,387,12,30,50,50,100,200,3,0,0,0
388,388,12,30,50,50,100,200,4,0,0,0
389,389,12,30,50,50,100,200,5,0,0,0
390,390,13,30,50,50,100,0,0,100,0,0
391,391,13,30,50,50,100,0,1,100,0,0
392,392,13,30,50,50,100,0,2,100,0,0
393,393,13,30,50,50,100,0,3,100,0,0
394,394,13,30,50,50,100,0,4,100,0,0
395,395,13,30,50,50,100,0,5,100,0,0
396,396,13,30,50,50,100,50,0,0,0,0
397,397,13,30,50,50,100,50,1,1,0,0
398,398,13,30,50,50,100,50,2,0,0,0
399,399,13,30,50,50,100,50,3,1,0,0
400,400,13,30,50,50,100,50,4,0,0,0
401,401,13,30,50,50,100,50,5,0,0,0
402,402,13,30,50,50,100,100,0,0,0,0
403,403,13,30,50,50,100,100,1,0,0,0
404,404,13,30,50,50,100,100,2,0,0,0
405,405,13,30,50,50,100,100,3,0,0,0
406,406,13,30,50,50,100,100,4,0,0,0
407,407,13,30,50,50,100,100,5,1,0,0
408,408,13,30,50,50,100,150,0,1,0,0
409,409,13,30,50,50,100,150,1,0,0,0
410,410,13,30,50,50,100,150,2,0,0,0
411,411,13,30,50,50,100,150,3,1,0,0
412,412,13,30,50,50,100,150,4,0,0,0
413,413,13,30,50,50,100,150,5,0,0,0
414,414,13,30,50,50,100,200,0,0,0,0
415,415,13,30,50,50,100,200,1,0,0,0
416,416,13,30,50,50,100,200,2,1,0,0
417,417,13,30,50,50,100,200,3,0,0,0
418,418,13,30,50,50,100,200,4,0,0,0
419,419,13,30,50,50,100,200,5,0,0,0
420,420,14,30,50,50,100,0,0,100,0,0
421,421,14,30,50,50,100,0,1,100,0,0
422,422,14,30,50,50,100,0,2,100,0,0
423,423,14,30,50,50,100,0,3,100,0,0
424,424,14,30,50,50,100,0,4,100,0,0
425,425,14,30,50,50,100,0,5,100,0,0
426,426,14,30,50,50,100,50,0,7,0,0
427,427,14,30,50,50,100,50,1,1,0,0
428,428,14,30,50,50,100,50,2,0,0,0
429,429,14,30,50,50,100,50,3,0,0,0
430,430,14,30,50,50,100,50,4,0,0,0
431,431,14,30,50,50,100,50,5,0,0,0
432,432,14,30,50,50,100,100,0,6,0,0
